date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:44	575/575	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:19%20GMT	https://www.novecore.com/img/yt-logo.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/yt-logo.svg	(from https://www.novecore.com/)
17:53:44	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Benim%20Web%20Sitem/deneme/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.novecore.com/)
17:53:45	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b04c56-302c%22	https://www.novecore.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://www.novecore.com/)
17:53:45	254/254	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:21%20GMT	https://www.novecore.com/img/navbar-toggle.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/navbar-toggle.svg	(from https://www.novecore.com/css/novecore.css)
17:53:45	1261/1261	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/img/play.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/play.svg	(from https://www.novecore.com/css/novecore.css)
17:53:45	20514/20514	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:22%20GMT	https://www.novecore.com/img/spotify-textwall.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/spotify-textwall.svg	(from https://www.novecore.com/css/novecore.css)
17:53:46	30275/30275	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:19%20GMT	https://www.novecore.com/img/soundcloud-textwall.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/soundcloud-textwall.svg	(from https://www.novecore.com/css/novecore.css)
17:53:46	16796/16796	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/img/deezer-textwall.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/deezer-textwall.svg	(from https://www.novecore.com/css/novecore.css)
17:53:46	26921/26921	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:23%20GMT	https://www.novecore.com/img/apple-music-textwall.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/apple-music-textwall.svg	(from https://www.novecore.com/css/novecore.css)
17:53:46	19405/19405	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:22%20GMT	https://www.novecore.com/img/pandora-textwall.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/pandora-textwall.svg	(from https://www.novecore.com/css/novecore.css)
17:53:47	28884/28884	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:22%20GMT	https://www.novecore.com/img/amazon-music-textwall.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/amazon-music-textwall.svg	(from https://www.novecore.com/css/novecore.css)
17:53:47	29398/29398	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:20%20GMT	https://www.novecore.com/img/many-more-textwall.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/many-more-textwall.svg	(from https://www.novecore.com/css/novecore.css)
17:53:47	445/445	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:23%20GMT	https://www.novecore.com/img/list-icon-1.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/list-icon-1.svg	(from https://www.novecore.com/css/novecore.css)
17:53:47	517/517	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:22%20GMT	https://www.novecore.com/img/list-icon-2.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/list-icon-2.svg	(from https://www.novecore.com/css/novecore.css)
17:53:48	1380/1380	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:21%20GMT	https://www.novecore.com/img/list-icon-3.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/list-icon-3.svg	(from https://www.novecore.com/css/novecore.css)
17:53:48	9291/9291	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2008%20Jun%202022%2019:53:25%20GMT	https://www.novecore.com/img/lines.svg	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/img/lines.svg	(from https://www.novecore.com/css/novecore.css)
17:53:48	4100/4100	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Jun%202022%2014:53:48%20GMT	https://www.novecore.com/cdn-cgi/l/email-protection	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/cdn-cgi/l/email-protection.html	(from https://www.novecore.com/tos.html)
17:53:49	2135/2135	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jun%202022%2014:53:49%20GMT	https://www.novecore.com/privacy	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/privacy	(from https://www.novecore.com/tos.html)
17:53:49	2135/2135	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Jun%202022%2014:53:49%20GMT	https://www.novecore.com/cookies	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/cookies	(from https://www.novecore.com/tos.html)
17:53:49	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b04c56-4d7%22	https://www.novecore.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Benim%20Web%20Sitem/deneme/www.novecore.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.novecore.com/tos.html)
